Subject,Trial_type,Logit_Coeff,Logit_Intercept,Area_under_curve,%Correct,Hit_rate,Rejection_rate
female265W,GO,0.01530891448067566,0.588321670933989,78.8102155494229,78.58472998137803,21.415270018621975,nan
female265W,NOGO,0.009595818923113479,-0.1241687543737299,58.86630493582347,58.659217877094974,nan,41.340782122905026
Male_W147R,GO,0.0009584022431828718,0.5160572838467805,63.75694859812968,63.73546511627907,36.26453488372093,nan
Male_W147R,NOGO,0.01415248690777723,-0.45569484022939577,56.35455593445376,56.031976744186046,nan,43.968023255813954
female161W,GO,0.00040644244973922706,0.38013065184238565,59.88908083495332,59.87958401751505,40.12041598248495,nan
female161W,NOGO,0.015523169975880423,-0.4064073221222338,59.07892480791446,58.73015873015873,nan,41.269841269841265
maleG47,GO,0.014272961479134299,-0.029722918819075902,66.17261088297676,65.87017124651533,34.129828753484674,nan
maleG47,NOGO,0.0076588650636651625,0.0836442636828515,61.50609329264361,61.33014735165273,nan,38.669852648347266
maleB86L39,GO,-0.000612180315851187,1.0437942859343987,73.35091501694629,73.36244541484716,26.637554585152838,nan
maleB86L39,NOGO,0.010335942944638209,-0.3561598011763246,54.17216169157638,53.930131004366814,nan,46.069868995633186
male96P,GO,0.004768990284886369,0.8141617415444824,74.13144974807952,74.04692082111437,25.95307917888563,nan
male96P,NOGO,0.010740485185163896,-0.37533437590971047,54.20037202252999,53.95894428152493,nan,46.04105571847507
